files,chunks,candidates,clones,statusUpdates,timestamp
98800,0,0,0,2,5,
12500,0,0,0,2,11,
28500,0,0,0,2,16,
45300,0,0,0,2,21,
62700,0,0,0,2,26,
79900,0,0,0,2,31,
96000,0,0,0,2,36,
109000,7600,0,0,3,41,
109000,53500,0,0,3,46,
109000,103600,0,0,3,51,
109000,162900,0,0,3,56,
109000,216700,0,0,3,61,
109000,276300,0,0,3,66,
109000,338800,0,0,3,71,
109000,396900,0,0,3,77,
109000,454500,0,0,3,82,
109000,500200,0,0,3,87,
109000,537300,0,0,3,92,
109000,581000,0,0,3,97,
109000,622500,0,0,3,102,
109000,682900,0,0,3,108,
109000,715400,0,0,3,113,
109000,758700,0,0,3,118,
109000,800900,0,0,3,123,
109000,839100,0,0,3,129,
109000,907200,0,0,3,134,
109000,949200,0,0,3,139,
109000,1003200,0,0,3,144,
109000,1007700,0,0,3,150,
109000,1007700,0,0,3,155,
109000,1009400,0,0,3,160,
109000,1009400,0,0,3,165,
109000,1042400,0,0,3,171,
109000,1062200,0,0,3,176,
109000,1094400,0,0,3,181,
109000,1131800,0,0,3,187,
109000,1143100,0,0,3,192,
109000,1189000,0,0,3,197,
109000,1245900,0,0,3,203,
109000,1289500,0,0,3,208,
109000,1329600,0,0,3,213,
109000,1369000,0,0,3,219,
109000,1425600,0,0,3,224,
109000,1481800,0,0,3,229,
109000,1512400,0,0,3,235,
109000,1554500,0,0,3,240,
109000,1587100,0,0,3,246,
109000,1632000,0,0,3,251,
109000,1664400,0,0,3,256,
109000,1732000,0,0,3,262,
109000,1792600,0,0,3,267,
109000,1822800,0,0,3,273,
109000,1854900,0,0,3,278,
109000,1904200,0,0,3,284,
109000,1928600,0,0,3,289,
109000,1940300,0,0,3,295,
109000,1942400,0,0,3,300,
109000,1946700,0,0,3,306,
109000,1948800,0,0,3,311,
109000,1948800,0,0,3,317,
109000,1974300,0,0,3,322,
109000,2016200,0,0,3,328,
109000,2052900,0,0,3,333,
109000,2088000,0,0,3,339,
109000,2134200,0,0,3,344,
109000,2173100,0,0,3,350,
109000,2215900,0,0,3,355,
109000,2237200,0,0,3,361,
109000,2268300,0,0,3,366,
109000,2304800,0,0,3,372,
109000,2360100,0,0,3,378,
109000,2406400,0,0,3,383,
109000,2464800,0,0,3,389,
109000,2488700,0,0,3,394,
109000,2532200,0,0,3,400,
109000,2584500,0,0,3,406,
109000,2642200,0,0,3,411,
109000,2656000,0,0,3,417,
109000,2664800,0,0,3,422,
109000,2698400,0,0,3,428,
109000,2754100,0,0,3,434,
109000,2803600,0,0,3,440,
109000,2837300,0,0,3,445,
109000,2876600,0,0,3,451,
109000,2905500,0,0,3,457,
109000,2942700,0,0,3,462,
109000,2974300,0,0,3,468,
109000,3010700,0,0,3,474,
109000,3045500,0,0,3,479,
109000,3088000,0,0,3,485,
109000,3091000,0,0,3,491,
109000,3111000,0,0,3,497,
109000,3146300,0,0,3,502,
109000,3210000,0,0,3,508,
109000,3259100,0,0,3,514,
109000,3284000,0,0,3,520,
109000,3307500,0,0,3,525,
109000,3327000,0,0,3,531,
109000,3338800,0,0,3,537,
109000,3354200,0,0,3,543,
109000,3382000,0,0,3,548,
109000,3420000,0,0,3,554,
109000,3433600,0,0,3,560,
109000,3491800,0,0,3,566,
109000,3551300,0,0,3,572,
109000,3606700,0,0,3,577,
109000,3659400,0,0,3,583,
109000,3710000,0,0,3,589,
109000,3767600,0,0,3,595,
109000,3783300,0,0,3,601,
109000,3812500,0,0,3,607,
109000,3835200,0,0,3,613,
109000,3867000,0,0,3,619,
109000,3917900,0,0,3,624,
109000,3980700,0,0,3,630,
109000,4027300,0,0,3,636,
109000,4041400,0,0,3,642,
109000,4041700,0,0,3,648,
109000,4041700,0,0,3,654,
109000,4041700,0,0,3,660,
109000,4041800,0,0,3,666,
109000,4084400,0,0,3,672,
109000,4143800,0,0,3,678,
109000,4211100,0,0,3,684,
109000,4276400,0,0,3,690,
109000,4322600,0,0,3,696,
109000,4343300,0,0,3,702,
109000,4398700,0,0,3,708,
109000,4449300,0,0,3,714,
109000,4486000,0,0,3,720,
109000,4548300,0,0,3,726,
109000,4600100,0,0,3,732,
109000,4659000,0,0,3,738,
109000,4706600,0,0,3,744,
109000,4733200,0,0,3,750,
109000,4765800,0,0,3,756,
109000,4797100,0,0,3,762,
109000,4846000,0,0,3,769,
109000,4888800,0,0,3,775,
109000,4944100,0,0,3,781,
109000,5001200,0,0,3,787,
109000,5048300,0,0,3,793,
109000,5088500,0,0,3,799,
109000,5133000,0,0,3,805,
109000,5159900,0,0,3,812,
109000,5189200,0,0,3,818,
109000,5194500,0,0,3,824,
109000,5207400,0,0,3,830,
109000,5230600,0,0,3,836,
109000,5270600,0,0,3,842,
109000,5290100,0,0,3,849,
109000,5315600,0,0,3,855,
109000,5365600,0,0,3,861,
109000,5404800,0,0,3,867,
109000,5461000,0,0,3,874,
